,Account Status,Duration,Credit History,Purpose,Credit Amount,Savings,Employment,Installment rate,Sex,Other debtors,Residence,Property,Age,Other installments,Housing,Number of credits,Job,Maintenance,Telephone,Foreign,label_value,score
417,<0,18,delay in paying off,education,8471,no,1 <= < 4 years,1,female divorced/separated/married,none,2,car or other,Younger,none,rent,2,skilled employee / official,1,yes,yes,1,0.0
418,no,21,existing credits paid back duly till now,car (new),2782,<1000,4 <= < 7 years,1,female divorced/separated/married,none,2,car or other,Middle1,bank,own,1,management/ highly qualified employee,1,none,yes,1,1.0
419,<200,18,existing credits paid back duly till now,car (new),1042,no,1 <= < 4 years,4,female divorced/separated/married,none,2,savings agreement/life insurance,Middle2,none,own,1,skilled employee / official,1,none,yes,0,0.0
420,no,15,existing credits paid back duly till now,car (new),3186,>1000,4 <= < 7 years,2,female divorced/separated/married,none,3,car or other,Younger,none,rent,1,skilled employee / official,1,none,yes,1,1.0
421,<200,12,existing credits paid back duly till now,car (used),2028,no,1 <= < 4 years,4,male single,none,2,car or other,Middle1,none,own,1,skilled employee / official,1,none,yes,1,1.0
422,<200,12,critical account,car (new),958,<100,4 <= < 7 years,2,male single,none,3,real estate,Older,none,own,2,unskilled - resident,2,none,yes,1,1.0
423,no,21,delay in paying off,furniture/equipment,1591,<500,4 <= < 7 years,4,male single,none,3,real estate,Middle2,none,own,2,management/ highly qualified employee,1,none,yes,1,1.0
424,<200,12,existing credits paid back duly till now,furniture/equipment,2762,no,>= 7 years,1,female divorced/separated/married,none,2,savings agreement/life insurance,Younger,bank,own,1,skilled employee / official,1,yes,yes,0,1.0
425,<200,18,existing credits paid back duly till now,car (used),2779,<100,1 <= < 4 years,1,male married/widowed,none,3,car or other,Younger,none,rent,1,skilled employee / official,1,yes,yes,1,1.0
426,no,28,critical account,radio/television,2743,<100,>= 7 years,4,male single,none,2,car or other,Middle1,none,own,2,skilled employee / official,1,none,yes,1,1.0
427,no,18,critical account,radio/television,1149,>1000,1 <= < 4 years,4,male single,none,3,real estate,Older,none,own,2,skilled employee / official,1,none,yes,1,1.0
428,no,9,existing credits paid back duly till now,furniture/equipment,1313,<100,>= 7 years,1,male single,none,4,car or other,Younger,none,own,1,skilled employee / official,1,none,yes,1,1.0
429,<0,18,critical account,repairs,1190,<100,unemployed,2,female divorced/separated/married,none,4,no,Older,none,for free,3,unemployed/ unskilled  - non-resident,2,none,yes,0,1.0
430,no,5,existing credits paid back duly till now,business,3448,<100,4 <= < 7 years,1,male single,none,4,real estate,Older,none,own,1,unskilled - resident,1,none,yes,1,1.0
431,<200,24,existing credits paid back duly till now,others,11328,<100,1 <= < 4 years,2,male single,co-applicant,3,car or other,Middle1,bank,own,2,management/ highly qualified employee,1,yes,yes,0,0.0
432,<0,6,critical account,furniture/equipment,1872,<100,unemployed,4,male single,none,4,no,Middle2,none,for free,3,management/ highly qualified employee,1,yes,yes,1,1.0
433,no,24,critical account,repairs,2058,<100,1 <= < 4 years,4,male divorced/separated,none,2,real estate,Middle2,none,own,2,skilled employee / official,1,yes,yes,1,1.0
434,<0,9,existing credits paid back duly till now,furniture/equipment,2136,<100,1 <= < 4 years,3,male single,none,2,real estate,Younger,none,own,1,skilled employee / official,1,none,yes,1,1.0
435,<200,12,existing credits paid back duly till now,radio/television,1484,no,1 <= < 4 years,2,male married/widowed,none,1,real estate,Younger,none,own,1,skilled employee / official,1,yes,yes,0,1.0
436,no,6,existing credits paid back duly till now,repairs,660,<1000,4 <= < 7 years,2,male married/widowed,none,4,real estate,Younger,none,rent,1,unskilled - resident,1,none,yes,1,1.0
437,no,24,critical account,car (new),1287,>1000,>= 7 years,4,female divorced/separated/married,none,4,real estate,Middle2,none,own,2,skilled employee / official,1,yes,yes,1,1.0
438,<0,42,critical account,repairs,3394,<100,unemployed,4,male single,co-applicant,4,car or other,Older,none,own,2,unemployed/ unskilled  - non-resident,1,none,yes,1,0.0
439,>200,12,all credits at this bank paid back duly,business,609,<100,< 1 year,4,female divorced/separated/married,none,1,real estate,Younger,none,own,1,unemployed/ unskilled  - non-resident,1,none,yes,0,1.0
440,no,12,existing credits paid back duly till now,car (new),1884,<100,>= 7 years,4,male single,none,4,car or other,Middle2,none,own,1,management/ highly qualified employee,1,yes,yes,1,1.0
441,<0,12,existing credits paid back duly till now,furniture/equipment,1620,<100,1 <= < 4 years,2,female divorced/separated/married,co-applicant,3,savings agreement/life insurance,Middle1,none,own,1,skilled employee / official,1,none,yes,1,1.0
442,<200,20,delay in paying off,others,2629,<100,1 <= < 4 years,2,male single,none,3,car or other,Middle1,bank,own,2,skilled employee / official,1,yes,yes,1,1.0
443,no,12,existing credits paid back duly till now,education,719,<100,>= 7 years,4,male single,none,4,car or other,Middle2,bank,own,1,unskilled - resident,2,none,yes,0,1.0
444,<200,48,critical account,furniture/equipment,5096,<100,1 <= < 4 years,2,female divorced/separated/married,none,3,car or other,Middle1,none,own,1,management/ highly qualified employee,1,yes,yes,0,1.0
445,no,9,critical account,education,1244,no,>= 7 years,4,female divorced/separated/married,none,4,savings agreement/life insurance,Middle2,none,rent,2,unskilled - resident,1,none,yes,1,1.0
446,<0,36,existing credits paid back duly till now,car (new),1842,<100,< 1 year,4,female divorced/separated/married,none,4,car or other,Middle2,none,own,1,skilled employee / official,1,yes,yes,0,0.0
447,<200,7,existing credits paid back duly till now,radio/television,2576,<100,1 <= < 4 years,2,male single,guarantor,2,real estate,Middle2,none,own,1,skilled employee / official,1,none,yes,1,1.0
448,>200,12,existing credits paid back duly till now,furniture/equipment,1424,no,>= 7 years,3,female divorced/separated/married,none,4,real estate,Older,none,own,1,management/ highly qualified employee,1,yes,yes,1,1.0
449,<200,15,delay in paying off,repairs,1512,>1000,1 <= < 4 years,3,male married/widowed,none,3,savings agreement/life insurance,Older,store,own,2,skilled employee / official,1,none,yes,0,0.0
450,no,36,critical account,car (used),11054,no,1 <= < 4 years,4,male single,none,2,car or other,Middle1,none,own,1,management/ highly qualified employee,1,yes,yes,1,1.0
451,no,6,existing credits paid back duly till now,radio/television,518,<100,1 <= < 4 years,3,female divorced/separated/married,none,1,real estate,Middle1,none,own,1,skilled employee / official,1,none,yes,1,1.0
452,no,12,no credits taken,furniture/equipment,2759,<100,>= 7 years,2,male single,none,4,savings agreement/life insurance,Middle2,none,own,2,skilled employee / official,1,none,yes,1,1.0
453,no,24,existing credits paid back duly till now,car (used),2670,<100,>= 7 years,4,male single,none,4,car or other,Middle2,none,own,1,management/ highly qualified employee,1,yes,yes,1,1.0
454,<0,24,existing credits paid back duly till now,car (new),4817,<100,4 <= < 7 years,2,male single,co-applicant,3,savings agreement/life insurance,Middle1,none,own,1,skilled employee / official,1,yes,yes,0,1.0
455,no,24,existing credits paid back duly till now,car (used),2679,<100,< 1 year,4,female divorced/separated/married,none,1,no,Middle1,none,own,1,management/ highly qualified employee,1,yes,yes,1,1.0
456,<0,11,critical account,car (new),3905,<100,1 <= < 4 years,2,male single,none,2,real estate,Middle2,none,rent,2,skilled employee / official,2,none,yes,1,0.0
457,<0,12,existing credits paid back duly till now,car (used),3386,<100,>= 7 years,3,male single,none,4,no,Middle2,none,for free,1,skilled employee / official,1,yes,yes,0,1.0
458,<0,6,existing credits paid back duly till now,domestic appliances,343,<100,< 1 year,4,female divorced/separated/married,none,1,real estate,Middle1,none,own,1,skilled employee / official,1,none,yes,1,1.0
459,no,18,existing credits paid back duly till now,radio/television,4594,<100,< 1 year,3,male single,none,2,car or other,Middle1,none,own,1,skilled employee / official,1,yes,yes,1,1.0
460,<0,36,existing credits paid back duly till now,furniture/equipment,3620,<100,1 <= < 4 years,1,male single,guarantor,2,savings agreement/life insurance,Middle2,none,own,1,skilled employee / official,2,none,yes,1,1.0
461,<0,15,existing credits paid back duly till now,car (new),1721,<100,< 1 year,2,male single,none,3,real estate,Middle2,none,own,1,skilled employee / official,1,none,yes,1,1.0
462,<200,12,existing credits paid back duly till now,furniture/equipment,3017,<100,< 1 year,3,female divorced/separated/married,none,1,real estate,Middle2,none,rent,1,management/ highly qualified employee,1,none,yes,1,1.0
463,<200,12,existing credits paid back duly till now,retraining,754,no,>= 7 years,4,male single,none,4,savings agreement/life insurance,Middle2,none,own,2,skilled employee / official,1,none,yes,1,1.0
464,no,18,existing credits paid back duly till now,business,1950,<100,4 <= < 7 years,4,male single,none,1,car or other,Middle2,store,own,2,skilled employee / official,1,yes,yes,1,1.0
465,<0,24,existing credits paid back duly till now,car (used),2924,<100,1 <= < 4 years,3,male single,guarantor,4,no,Older,bank,own,1,skilled employee / official,2,yes,yes,1,1.0
466,<0,24,delay in paying off,radio/television,1659,<100,< 1 year,4,female divorced/separated/married,none,2,car or other,Middle1,none,rent,1,unskilled - resident,1,yes,yes,0,0.0
467,no,48,delay in paying off,radio/television,7238,no,>= 7 years,3,male single,none,3,car or other,Middle1,bank,own,2,skilled employee / official,2,none,yes,1,1.0
468,no,33,delay in paying off,business,2764,<100,1 <= < 4 years,2,female divorced/separated/married,none,2,car or other,Younger,none,own,2,skilled employee / official,1,yes,yes,1,1.0
469,no,24,delay in paying off,car (used),4679,<100,4 <= < 7 years,3,male single,none,3,car or other,Middle2,none,own,2,unskilled - resident,1,yes,yes,1,1.0
470,<200,24,existing credits paid back duly till now,radio/television,3092,<500,< 1 year,3,male married/widowed,none,2,car or other,Younger,none,rent,1,skilled employee / official,1,yes,yes,0,1.0
471,<0,6,existing credits paid back duly till now,education,448,<100,< 1 year,4,female divorced/separated/married,none,4,savings agreement/life insurance,Younger,none,own,1,skilled employee / official,1,none,yes,0,0.0
472,<0,9,existing credits paid back duly till now,car (new),654,<100,1 <= < 4 years,4,male single,none,3,car or other,Middle1,none,own,1,unskilled - resident,1,none,yes,0,0.0
473,no,6,existing credits paid back duly till now,retraining,1238,no,unemployed,4,male single,none,4,savings agreement/life insurance,Middle2,none,own,1,management/ highly qualified employee,2,yes,yes,1,1.0
474,<200,18,critical account,radio/television,1245,<100,1 <= < 4 years,4,male married/widowed,none,2,car or other,Middle2,none,own,1,skilled employee / official,1,none,yes,0,1.0
475,<0,18,no credits taken,furniture/equipment,3114,<100,< 1 year,1,female divorced/separated/married,none,4,savings agreement/life insurance,Younger,none,rent,1,skilled employee / official,1,none,yes,0,1.0
476,no,39,existing credits paid back duly till now,car (used),2569,<1000,1 <= < 4 years,4,male single,none,4,car or other,Younger,none,own,1,skilled employee / official,1,none,yes,1,1.0
477,>200,24,existing credits paid back duly till now,radio/television,5152,<100,4 <= < 7 years,4,male single,none,2,car or other,Younger,bank,own,1,skilled employee / official,1,none,yes,1,1.0
478,<200,12,existing credits paid back duly till now,business,1037,<500,4 <= < 7 years,3,male single,none,4,real estate,Middle2,none,own,1,unskilled - resident,1,none,yes,1,1.0
479,<0,15,critical account,furniture/equipment,1478,<100,>= 7 years,4,male single,none,4,car or other,Older,none,own,2,skilled employee / official,2,yes,yes,1,1.0
480,<200,12,critical account,radio/television,3573,<100,1 <= < 4 years,1,female divorced/separated/married,none,1,real estate,Younger,none,own,1,unskilled - resident,1,none,yes,1,1.0
481,<200,24,existing credits paid back duly till now,car (new),1201,<100,< 1 year,4,male single,none,1,savings agreement/life insurance,Younger,none,own,1,skilled employee / official,1,none,yes,1,0.0
482,<0,30,existing credits paid back duly till now,furniture/equipment,3622,>1000,>= 7 years,4,female divorced/separated/married,none,4,savings agreement/life insurance,Older,none,rent,2,skilled employee / official,1,yes,yes,1,1.0
483,no,15,delay in paying off,furniture/equipment,960,>1000,4 <= < 7 years,3,female divorced/separated/married,none,2,savings agreement/life insurance,Middle1,none,own,2,skilled employee / official,1,none,yes,1,1.0
484,no,12,critical account,car (new),1163,<1000,1 <= < 4 years,4,male single,none,4,real estate,Older,none,own,1,skilled employee / official,1,yes,yes,1,1.0
485,<200,6,delay in paying off,car (new),1209,<100,unemployed,4,male single,none,4,savings agreement/life insurance,Older,none,own,1,management/ highly qualified employee,1,yes,yes,0,1.0
486,no,12,existing credits paid back duly till now,radio/television,3077,<100,1 <= < 4 years,2,male single,none,4,car or other,Older,none,own,1,skilled employee / official,1,yes,yes,1,1.0
487,no,24,existing credits paid back duly till now,car (new),3757,<100,>= 7 years,4,female divorced/separated/married,co-applicant,4,no,Older,none,for free,1,skilled employee / official,1,yes,yes,1,0.0
488,no,10,existing credits paid back duly till now,car (new),1418,<500,1 <= < 4 years,3,male single,none,2,real estate,Middle2,none,rent,1,unskilled - resident,1,none,no,1,1.0
489,no,6,existing credits paid back duly till now,car (new),3518,<100,1 <= < 4 years,2,male single,guarantor,3,savings agreement/life insurance,Younger,none,rent,1,skilled employee / official,1,none,yes,1,1.0
490,no,12,critical account,radio/television,1934,<100,>= 7 years,2,male single,none,2,no,Younger,none,own,2,skilled employee / official,1,none,yes,1,1.0
491,<200,27,no credits taken,business,8318,<100,>= 7 years,2,female divorced/separated/married,none,4,no,Older,none,for free,2,management/ highly qualified employee,1,yes,yes,0,0.0
492,no,6,critical account,radio/television,1237,<500,1 <= < 4 years,1,female divorced/separated/married,none,1,savings agreement/life insurance,Middle1,none,own,2,skilled employee / official,1,none,yes,1,1.0
